mun_id,norm_percent_change,norm_percent_change12_13,ingov11,ingov12,ingov13_x,mun,opo11,opo13,wage_2011,wage_2013,party_id_12,name_full_12,pop_total,log_pop_total,dummy_1became aligned,dummy_3unaligned both years,dummy_4stopped being aligned,dummy_2aligned both years,dummy_1became aligned12_13,dummy_3unaligned both years12_13,dummy_4stopped being aligned12_13,dummy_2aligned both years12_13,dummy_one,dummy_two,dummy_four,dummy_devastated,Tax_Income_per_Capita,area_km2,wage_2012,constant,employment_rate,labor_pariticpation_rate,dummy_city,dummy_normal,absolute_change_transfers
70289,205.746965738,11.4900667527,1.0,1.0,1.0,Bogatic,1.0,1.0,27404.0,33330.0,2,Demokratska Stranka,27881.0,10.2357007322,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.6091962268,384.0,30596.0,1,0.896778546129,0.410552920403,0.0,1.0,2354630.0
70335,184.921493494,13.5340163324,0.0,0.0,0.0,Bosilegrad,-1.0,0.0,26648.0,34186.0,7,Demokratska stranke Srbije,7729.0,8.95273476711,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,82.7493854315,571.0,31461.0,1,0.847835689046,0.557018083405,0.0,1.0,1829040.0
71161,183.210752909,8.60095123917,1.0,1.0,1.0,Trgoviste,1.0,1.0,24071.0,29334.0,4,Ujedinjeni Regioni Srbije,4806.0,8.4776204163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,74.2883895131,370.0,28380.0,1,0.885522959184,0.615989000196,0.0,1.0,1429850.0
71226,160.993489517,5.41878041205,0.0,0.0,0.0,Crna Trava,-1.0,0.0,23457.0,31839.0,7,Demokratska stranke Srbije,1470.0,7.29301767977,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,118.700680272,312.0,27025.0,1,0.926193921852,0.415514131088,0.0,1.0,628100.0
70459,129.528923215,3.9052163345,1.0,1.0,1.0,Vrnjacka Banja,1.0,1.0,26884.0,33711.0,2,Demokratska Stranka,26948.0,10.2016643621,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,95.0311711444,239.0,31333.0,1,0.73630986453,0.380789770044,0.0,1.0,979420.0
71137,113.033295853,10.4796146146,1.0,1.0,1.0,Surdulica,1.0,1.0,34297.0,39916.0,3,Socijalisticka Partija Srbije,19624.0,9.88450858594,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,104.634631064,628.0,36232.0,1,0.591343093571,0.386583985432,0.0,1.0,1578250.0
80411,112.643166033,52.2528101484,1.0,1.0,0.0,Sremski Karlovci,1.0,-1.0,30535.0,33335.0,2,Demokratska Stranka,8588.0,9.058121159,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,152.214718211,51.0,30284.0,1,0.769989339019,0.4288,0.0,1.0,429790.0
70777,111.812687588,-18.0223001912,1.0,1.0,1.0,Ljubovija,1.0,1.0,31292.0,41738.0,3,Socijalisticka Partija Srbije,13753.0,9.52901226111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,90.285028721,356.0,35088.0,1,0.874063188832,0.470315847674,0.0,1.0,1095250.0
70050,110.282667707,-1.13372792822,1.0,1.0,1.0,Babusnica,1.0,1.0,26849.0,28843.0,3,Socijalisticka Partija Srbije,11478.0,9.34818743867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,73.6652726956,529.0,28105.0,1,0.663190823775,0.389615665881,0.0,1.0,1356940.0
71005,103.700369228,12.4069174175,0.0,0.0,1.0,Razanj,-1.0,1.0,27113.0,30881.0,15,Nova Srbija,8614.0,9.06114406561,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,57.9057348502,289.0,29645.0,1,0.924192665572,0.399344262295,0.0,1.0,1025130.0
70688,99.2693439553,5.83214928483,0.0,0.0,1.0,Kursumlija,-1.0,1.0,23954.0,28075.0,15,Nova Srbija,18488.0,9.82487715195,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,112.36369537,952.0,24282.0,1,0.720031055901,0.335189715297,0.0,1.0,1669760.0
70793,97.3441655434,3.61125456667,1.0,1.0,1.0,Mali Zvornik,1.0,1.0,30052.0,34877.0,3,Socijalisticka Partija Srbije,12005.0,9.39307850866,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,87.6901291129,184.0,31939.0,1,0.772125912409,0.351225765102,0.0,1.0,801600.0
70475,96.8160502472,8.9039567923,1.0,1.0,0.0,Golubac,1.0,-1.0,23853.0,29904.0,2,Demokratska Stranka,7940.0,8.97966855424,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,69.0906801008,367.0,28369.0,1,0.815628375945,0.333333333333,0.0,1.0,912530.0
70343,96.3128578511,2.8861241874,0.0,0.0,1.0,Brus,-1.0,1.0,27383.0,32390.0,15,Nova Srbija,15706.0,9.66179808393,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,83.5145804151,606.0,30503.0,1,0.862779901693,0.448857020286,0.0,1.0,990780.0
80390,95.5472215614,8.99900938356,1.0,1.0,1.0,Srbobran,1.0,1.0,27994.0,35431.0,2,Demokratska Stranka,15939.0,9.67652421512,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,91.8602170776,284.0,32647.0,1,0.710543337646,0.378991236134,0.0,1.0,682790.0
80080,92.1768378521,-9.80370400258,1.0,1.0,0.0,Backi Petrovac,1.0,-1.0,25375.0,30971.0,2,Demokratska Stranka,13122.0,9.4820454899,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,165.77046182,158.0,28427.0,1,0.833878464452,0.432925920405,0.0,1.0,857770.0
70262,91.0463460762,-0.998772181937,1.0,1.0,0.0,Blace,1.0,0.0,27326.0,31198.0,2,Demokratska Stranka,11212.0,9.32473991228,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,88.338387442,306.0,30140.0,1,0.703025866276,0.348647269015,0.0,1.0,856910.0
70815,87.0704973054,5.48163785319,0.0,0.0,0.0,Medvedja,0.0,0.0,34440.0,39235.0,35,"Grupa Gradjana ""Gornja Jablanica""",7111.0,8.86939815988,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,104.761636901,524.0,36186.0,1,0.835304822566,0.443264318365,0.0,1.0,1190750.0
70866,86.9928024797,-11.6061043804,1.0,1.0,1.0,Nova Varos,1.0,1.0,28912.0,35425.0,2,Demokratska Stranka,15732.0,9.66345213355,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,98.4941520468,581.0,32509.0,1,0.693757030371,0.427455222984,0.0,1.0,993510.0
71064,86.6772680184,1.67508822874,0.0,0.0,0.0,Svrljig,0.0,0.0,25288.0,29988.0,23,Ujedinjena seljacka stranka,13507.0,9.51096334856,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,64.7597542015,497.0,27432.0,1,0.654451345756,0.338971155871,0.0,1.0,1313620.0
70530,86.4962763729,3.47935969882,1.0,1.0,1.0,zagubica,1.0,1.0,31806.0,37031.0,4,Ujedinjeni Regioni Srbije,12084.0,9.39963754251,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,57.2136709699,760.0,35442.0,1,0.85250057617,0.340661066185,0.0,1.0,1279920.0
70572,85.3629451343,10.548465393,1.0,1.0,1.0,Kladovo,1.0,1.0,38186.0,45395.0,3,Socijalisticka Partija Srbije,19834.0,9.89515291575,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,139.48018554,629.0,42870.0,1,0.846504992867,0.339714078023,0.0,1.0,780260.0
70513,82.8984749455,-0.945350884231,0.0,0.0,0.0,Doljevac,0.0,0.0,24707.0,31831.0,26,Pokret za Jug,18305.0,9.81492952555,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,66.9500136575,121.0,28754.0,1,0.557397603789,0.38877755511,0.0,1.0,951260.0
70831,82.2767111853,-2.48784544881,0.0,0.0,1.0, Mionica,-1.0,1.0,27292.0,31280.0,15,Nova Srbija,13821.0,9.5339444536,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,73.1994790536,329.0,29262.0,1,0.933166494921,0.473875130799,0.0,1.0,788540.0
71218,82.2046684053,8.8341883863,1.0,1.0,1.0,Ub,1.0,1.0,28612.0,33104.0,2,Demokratska Stranka,28358.0,10.2526644563,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,103.116228225,456.0,32540.0,1,0.895190856157,0.478024810144,0.0,1.0,762810.0
70971,81.5191791763,-3.44117590986,0.0,0.0,1.0,Priboj,-1.0,1.0,29446.0,26051.0,1,Srpska Napredna Stranka,25979.0,10.1650437983,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.1866122638,553.0,31878.0,1,0.705810224486,0.390741901006,0.0,1.0,1592200.0
70661,80.5632395641,8.46161347917,0.0,0.0,1.0,Krupanj,-1.0,1.0,25065.0,29627.0,15,Nova Srbija,16459.0,9.70862771904,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.2542681815,342.0,28775.0,1,0.80826422648,0.404394333622,0.0,1.0,1290180.0
